city,state,tier,area_sqft,floors,building_type,quality,total_area_sqft,cement_bags,sand_cft,bricks,aggregate_cft,steel_kg,price_cement_per_bag,price_sand_per_cft,price_brick_per_nos,price_agg_per_cft,price_steel_per_kg,cost_cement,cost_sand,cost_bricks,cost_aggregate,cost_steel,total_material_cost
chennai,Tamil Nadu,1,5314.87,1,0,2,5314.87,2819,8193,36635,7393,23697,410.0,73.0,8.0,45.0,61.0,1155790,598089,293080,332685,1445517,3825161
amritsar,Punjab,2,4881.39,2,0,1,9762.77,3951,13874,62565,11686,38969,390.0,68.0,11.0,48.0,64.0,1540890,943432,688215,560928,2494016,6227481
guwahati,Assam,1,11269.04,6,0,2,67614.21,38617,107006,483449,101754,344413,385.0,65.0,10.0,45.0,67.0,14867545,6955390,4834490,4578930,23075671,54312026
jabalpur,Madhya Pradesh,2,2006.99,4,1,1,8027.96,3262,11769,37482,11275,49722,365.0,58.0,10.0,42.0,60.0,1190630,682602,374820,473550,2983320,5704922
chandigarh,Punjab,1,316.19,4,0,2,1264.77,647,1989,8889,1977,6072,390.0,68.0,11.0,48.0,64.0,252330,135252,97779,94896,388608,968865
salem,Tamil Nadu,2,3009.41,4,0,2,12037.62,6197,19106,79653,17773,56444,360.0,52.0,8.0,36.0,59.0,2230920,993512,637224,639828,3330196,7831680
ahmedabad,Gujarat,1,9879.27,2,0,1,19758.53,9138,29886,135665,25169,82833,385.0,58.0,7.0,40.0,55.0,3518130,1733388,949655,1006760,4555815,11763748
bhopal,Madhya Pradesh,1,2670.0,4,0,2,10679.99,5615,16519,71017,15164,49082,370.0,60.0,10.0,43.0,62.0,2077550,991140,710170,652052,3043084,7473996
jodhpur,Rajasthan,2,3042.36,8,1,1,24338.89,11194,31817,113112,33786,158748,390.0,60.0,8.0,40.0,58.0,4365660,1909020,904896,1351440,9207384,17738400
thoothukudi,Tamil Nadu,3,1732.81,3,2,0,5198.42,2319,7088,19838,6608,41275,352.0,50.0,8.0,35.0,57.0,816288,354400,158704,231280,2352675,3913347
kanpur,Uttar Pradesh,1,8642.15,2,0,1,17284.29,7377,25893,115512,21150,73828,395.0,65.0,9.0,42.0,60.0,2913915,1683045,1039608,888300,4429680,10954548
jabalpur,Madhya Pradesh,2,1016.26,4,0,2,4065.02,2493,6731,28960,6358,20382,365.0,58.0,10.0,42.0,60.0,909945,390398,289600,267036,1222920,3079899
indore,Madhya Pradesh,1,4108.26,6,0,1,24649.55,9470,33426,156672,31320,104696,380.0,60.0,11.0,43.0,58.0,3598600,2005560,1723392,1346760,6072368,14746680
dehradun,Uttarakhand,2,3533.48,1,2,1,3533.48,2006,5160,13687,4931,28367,400.0,68.0,10.0,48.0,68.0,802400,350880,136870,236688,1928956,3455794
bangalore,Karnataka,1,6750.88,2,1,0,13501.77,5341,15992,55516,14825,70123,380.0,68.0,12.0,52.0,65.0,2029580,1087456,666192,770900,4557995,9112123
ludhiana,Punjab,1,8818.91,6,2,0,52913.47,18066,65731,187010,63553,424637,388.0,68.0,11.0,48.0,64.0,7009608,4469708,2057110,3050544,27176768,43763738
salem,Tamil Nadu,2,6487.94,7,0,2,45415.59,24842,75650,324035,74742,242082,360.0,52.0,8.0,36.0,59.0,8943120,3933800,2592280,2690712,14282838,32442750
meerut,Uttar Pradesh,2,11186.11,2,1,1,22372.21,10857,34540,112598,30063,140108,400.0,68.0,9.0,44.0,62.0,4342800,2348720,1013382,1322772,8686696,17714370
erode,Tamil Nadu,3,11427.02,2,1,0,22854.05,9329,28575,108919,27334,132469,355.0,52.0,8.0,35.0,58.0,3311795,1485900,871352,956690,7683202,14308939
pune,Maharashtra,1,4465.29,2,0,1,8930.58,2997,12783,55467,10287,32924,405.0,68.0,8.0,43.0,59.0,1213785,869244,443736,442341,1942516,4911622
mangalore,Karnataka,2,9376.63,2,0,0,18753.26,5884,26092,114101,19114,68606,378.0,65.0,11.0,47.0,64.0,2224152,1695980,1255111,898358,4390784,10464385
erode,Tamil Nadu,3,8917.86,7,0,1,62424.99,28890,88732,411314,81449,271766,355.0,52.0,8.0,35.0,58.0,10255950,4614064,3290512,2850715,15762428,36773669
patna,Bihar,2,10736.98,1,1,2,10736.98,5309,15908,56394,15913,75315,395.0,62.0,7.0,43.0,59.0,2097055,986296,394758,684259,4443585,8605953
salem,Tamil Nadu,2,5485.73,2,2,1,10971.47,6159,16196,46392,16131,95939,360.0,52.0,8.0,36.0,59.0,2217240,842192,371136,580716,5660401,9671685
hubli,Karnataka,2,6459.58,6,0,0,38757.5,13432,46325,210749,40688,139848,375.0,62.0,10.0,45.0,64.0,5037000,2872150,2107490,1830960,8950272,20797872
bhopal,Madhya Pradesh,1,5106.14,2,0,0,10212.27,3668,11590,57652,10060,34375,370.0,60.0,10.0,43.0,62.0,1357160,695400,576520,432580,2131250,5192910
ranchi,Jharkhand,2,10234.45,4,2,1,40937.79,21675,60211,177170,65612,390045,375.0,60.0,9.0,42.0,62.0,8128125,3612660,1594530,2755704,24182790,40273809
srinagar,Jammu and Kashmir,2,2910.49,2,0,2,5820.97,2909,10643,44121,9603,29748,430.0,90.0,13.0,60.0,74.0,1250870,957870,573573,576180,2201352,5559845
pune,Maharashtra,1,3028.57,4,0,1,12114.27,6032,18463,81136,15733,52639,405.0,68.0,8.0,43.0,59.0,2442960,1255484,649088,676519,3105701,8129752
vellore,Tamil Nadu,3,4596.74,10,0,1,45967.4,21652,62016,289705,64179,205404,355.0,50.0,8.0,35.0,58.0,7686460,3100800,2317640,2246265,11913432,27264597
patna,Bihar,2,2918.05,2,0,0,5836.09,1672,7548,34511,5529,20713,395.0,62.0,7.0,43.0,59.0,660440,467976,241577,237747,1222067,2829807
rajkot,Gujarat,2,6819.88,5,2,1,34099.4,16185,44050,127757,49383,290366,378.0,55.0,9.0,38.0,56.0,6117930,2422750,1149813,1876554,16260496,27827543
guwahati,Assam,1,1786.98,10,0,1,17869.83,8632,23952,114491,24310,78171,385.0,65.0,10.0,45.0,67.0,3323320,1556880,1144910,1093950,5237457,12356517
hubli,Karnataka,2,3978.2,10,1,0,39781.97,14247,46067,162094,46019,238694,375.0,62.0,10.0,45.0,64.0,5342625,2856154,1620940,2070855,15276416,27166990
patna,Bihar,2,10978.65,2,0,1,21957.29,7055,31489,145949,27864,93194,395.0,62.0,7.0,43.0,59.0,2786725,1952318,1021643,1198152,5498446,12457284
trichy,Tamil Nadu,2,5028.86,2,0,1,10057.72,3939,15242,69443,13082,43058,362.0,54.0,9.0,37.0,59.0,1425918,823068,624987,484034,2540422,5898429
faridabad,Haryana,2,9029.16,2,2,1,18058.32,10285,27394,75549,27677,161512,405.0,78.0,11.0,52.0,66.0,4165425,2136732,831039,1439204,10659792,19232192
raipur,Chhattisgarh,2,1538.85,2,0,2,3077.71,1482,5299,23402,4924,16038,365.0,58.0,9.0,40.0,60.0,540930,307342,210618,196960,962280,2218130
thoothukudi,Tamil Nadu,3,3121.26,2,0,1,6242.52,2768,8756,37563,7061,24297,352.0,50.0,8.0,35.0,57.0,974336,437800,300504,247135,1384929,3344704
vijayawada,Andhra Pradesh,2,9726.68,2,2,2,19453.36,12683,34163,87521,36569,199550,380.0,60.0,9.0,43.0,62.0,4819540,2049780,787689,1572467,12372100,21601576
erode,Tamil Nadu,3,9203.32,4,0,1,36813.27,16383,54497,255448,52488,166050,355.0,52.0,8.0,35.0,58.0,5815965,2833844,2043584,1837080,9630900,22161373
indore,Madhya Pradesh,1,4756.64,3,0,0,14269.92,5979,20327,88279,15166,53566,380.0,60.0,11.0,43.0,58.0,2272020,1219620,971069,652138,3106828,8221675
mangalore,Karnataka,2,11461.88,6,1,2,68771.3,35880,104161,351540,112655,507388,378.0,65.0,11.0,47.0,64.0,13562640,6770465,3866940,5294785,32472832,61967662
cuttack,Odisha,2,10945.59,4,0,1,43782.35,19471,67308,303869,57234,193933,375.0,58.0,9.0,42.0,64.0,7301625,3903864,2734821,2403828,12411712,28755850
surat,Gujarat,1,11555.15,2,0,2,23110.3,12376,39616,172120,34234,116245,380.0,58.0,10.0,42.0,57.0,4702880,2297728,1721200,1437828,6625965,16785601
erode,Tamil Nadu,3,5249.39,3,1,1,15748.18,6918,21753,71385,20648,96305,355.0,52.0,8.0,35.0,58.0,2455890,1131156,571080,722680,5585690,10466496
aurangabad,Maharashtra,2,2530.19,4,0,1,10120.75,4365,14359,64188,13084,41774,375.0,60.0,9.0,43.0,61.0,1636875,861540,577692,562612,2548214,6186933
guwahati,Assam,1,7594.57,1,1,2,7594.57,4264,12063,40115,11385,52056,385.0,65.0,10.0,45.0,67.0,1641640,784095,401150,512325,3487752,6826962
delhi,Delhi,1,8280.32,1,0,1,8280.32,3398,11710,55930,10407,34067,410.0,78.0,8.0,50.0,65.0,1393180,913380,447440,520350,2214355,5488705
howrah,West Bengal,1,1680.21,5,1,1,8401.07,4396,12057,38595,10611,51078,395.0,65.0,10.0,44.0,63.0,1736420,783705,385950,466884,3217914,6590873
guntur,Andhra Pradesh,2,9480.5,1,0,2,9480.5,4473,16241,67407,13146,43810,380.0,60.0,9.0,42.0,62.0,1699740,974460,606663,552132,2716220,6549215
ludhiana,Punjab,1,413.11,5,2,1,2065.55,1181,3088,8894,3340,20168,388.0,68.0,11.0,48.0,64.0,458228,209984,97834,160320,1290752,2217118
durgapur,West Bengal,2,5896.19,6,2,2,35377.17,25645,61602,164809,70267,403527,380.0,65.0,10.0,44.0,63.0,9745100,4004130,1648090,3091748,25422201,43911269
visakhapatnam,Andhra Pradesh,1,4105.99,2,0,1,8211.98,3494,11077,53846,10535,33751,385.0,62.0,10.0,44.0,63.0,1345190,686774,538460,463540,2126313,5160277
aurangabad,Maharashtra,2,8935.58,4,2,1,35742.3,17505,50420,153764,53026,328753,375.0,60.0,9.0,43.0,61.0,6564375,3025200,1383876,2280118,20053933,33307502
salem,Tamil Nadu,2,3890.58,2,0,1,7781.15,3367,11383,51365,9300,32657,360.0,52.0,8.0,36.0,59.0,1212120,591916,410920,334800,1926763,4476519
thoothukudi,Tamil Nadu,3,9956.32,5,1,1,49781.62,24388,76932,264926,71621,352343,352.0,50.0,8.0,35.0,57.0,8584576,3846600,2119408,2506735,20083551,37140870
thiruvananthapuram,Kerala,1,7220.45,5,1,0,36102.26,18316,50425,171989,46633,225603,395.0,72.0,12.0,52.0,67.0,7234820,3630600,2063868,2424916,15115401,30469605
ranchi,Jharkhand,2,9567.94,1,0,1,9567.94,4732,13816,64764,12676,39724,375.0,60.0,9.0,42.0,62.0,1774500,828960,582876,532392,2462888,6181616
jaipur,Rajasthan,1,11874.22,3,0,0,35622.66,12209,46673,200258,37543,122972,405.0,62.0,7.0,43.0,60.0,4944645,2893726,1401806,1614349,7378320,18232846
kanpur,Uttar Pradesh,1,8214.07,3,0,0,24642.21,8306,31644,141837,26069,87431,395.0,65.0,9.0,42.0,60.0,3280870,2056860,1276533,1094898,5245860,12955021
raipur,Chhattisgarh,2,11822.41,1,0,0,11822.41,4757,15017,72371,12314,43031,365.0,58.0,9.0,40.0,60.0,1736305,870986,651339,492560,2581860,6333050
jodhpur,Rajasthan,2,540.27,8,0,1,4322.15,2353,6631,29452,6138,19925,390.0,60.0,8.0,40.0,58.0,917670,397860,235616,245520,1155650,2952316
madurai,Tamil Nadu,2,4190.05,2,0,1,8380.1,3811,12227,55754,10719,34823,368.0,58.0,9.0,38.0,60.0,1402448,709166,501786,407322,2089380,5110102
chandigarh,Punjab,1,1472.67,3,0,1,4418.01,2233,6351,29748,5646,19378,390.0,68.0,11.0,48.0,64.0,870870,431868,327228,271008,1240192,3141166
faridabad,Haryana,2,3295.2,1,1,1,3295.2,1515,4443,15398,4349,19370,405.0,78.0,11.0,52.0,66.0,613575,346554,169378,226148,1278420,2634075
noida,Uttar Pradesh,1,10098.88,3,0,1,30296.63,13071,42983,194202,37670,122823,407.0,80.0,11.0,52.0,66.0,5319897,3438640,2136222,1958840,8106318,20959917
mangalore,Karnataka,2,581.41,4,0,1,2325.66,1060,3204,15332,2927,9873,378.0,65.0,11.0,47.0,64.0,400680,208260,168652,137569,631872,1547033
kochi,Kerala,1,6338.16,3,0,0,19014.48,6856,25893,121693,20373,76197,395.0,72.0,12.0,52.0,67.0,2708120,1864296,1460316,1059396,5105199,12197327
gorakhpur,Uttar Pradesh,2,6892.12,4,1,1,27568.47,15170,42516,145455,40388,191832,390.0,65.0,9.0,42.0,60.0,5916300,2763540,1309095,1696296,11509920,23195151
ahmedabad,Gujarat,1,6821.58,4,2,0,27286.33,11044,34511,93188,31590,201733,385.0,58.0,7.0,40.0,55.0,4251940,2001638,652316,1263600,11095315,19264809
shimla,Himachal Pradesh,2,5808.51,2,0,1,11617.01,4984,16732,72588,14215,45473,415.0,82.0,12.0,55.0,70.0,2068360,1372024,871056,781825,3183110,8276375
delhi,Delhi,1,9529.11,2,1,1,19058.23,8479,25934,90095,24687,116903,410.0,78.0,8.0,50.0,65.0,3476390,2022852,720760,1234350,7598695,15053047
aurangabad,Maharashtra,2,1775.81,1,2,1,1775.81,876,2430,6777,2382,14221,375.0,60.0,9.0,43.0,61.0,328500,145800,60993,102426,867481,1505200
jabalpur,Madhya Pradesh,2,3864.81,1,2,0,3864.81,1535,4691,12821,4626,26856,365.0,58.0,10.0,42.0,60.0,560275,272078,128210,194292,1611360,2766215
indore,Madhya Pradesh,1,7465.57,1,0,1,7465.57,3661,11721,50670,9902,32099,380.0,60.0,11.0,43.0,58.0,1391180,703260,557370,425786,1861742,4939338
kochi,Kerala,1,8353.23,7,0,1,58472.58,27633,90109,409572,84291,279668,395.0,72.0,12.0,52.0,67.0,10915035,6487848,4914864,4383132,18737756,45438635
cuttack,Odisha,2,4968.95,10,0,2,49689.51,28285,82393,354403,82886,269620,375.0,58.0,9.0,42.0,64.0,10606875,4778794,3189627,3481212,17255680,39312188
bhubaneswar,Odisha,1,10529.38,1,0,0,10529.38,3942,13263,61919,9588,37490,380.0,60.0,10.0,43.0,65.0,1497960,795780,619190,412284,2436850,5762064
kolkata,West Bengal,1,5102.82,2,1,2,10205.64,6969,17937,58688,18990,79858,400.0,65.0,8.0,43.0,63.0,2787600,1165905,469504,816570,5031054,10270633
pune,Maharashtra,1,4952.76,1,0,1,4952.76,2072,7270,33048,6032,20267,405.0,68.0,8.0,43.0,59.0,839160,494360,264384,259376,1195753,3053033
coimbatore,Tamil Nadu,2,627.25,5,1,0,3136.23,1420,3965,14626,3594,19169,370.0,62.0,10.0,40.0,62.0,525400,245830,146260,143760,1188478,2249728
mysore,Karnataka,2,6703.47,2,0,0,13406.94,4443,18396,81529,13973,49642,375.0,62.0,10.0,44.0,64.0,1666125,1140552,815290,614812,3177088,7413867
delhi,Delhi,1,8562.43,3,0,0,25687.3,8634,32994,152414,26740,91974,410.0,78.0,8.0,50.0,65.0,3539940,2573532,1219312,1337000,5978310,14648094
kolkata,West Bengal,1,1550.37,3,2,1,4651.11,2620,7107,19483,7442,43411,400.0,65.0,8.0,43.0,63.0,1048000,461955,155864,320006,2734893,4720718
bhubaneswar,Odisha,1,3804.11,4,2,0,15216.43,6948,19659,53415,18067,119823,380.0,60.0,10.0,43.0,65.0,2640240,1179540,534150,776881,7788495,12919306
udaipur,Rajasthan,2,9418.83,2,1,1,18837.66,9389,27969,97867,23065,120924,392.0,60.0,8.0,40.0,58.0,3680488,1678140,782936,922600,7013592,14077756
shimla,Himachal Pradesh,2,4517.85,1,0,1,4517.85,1744,6337,27775,5375,17134,415.0,82.0,12.0,55.0,70.0,723760,519634,333300,295625,1199380,3071699
noida,Uttar Pradesh,1,3050.91,1,2,1,3050.91,1479,4715,12950,4874,27748,407.0,80.0,11.0,52.0,66.0,601953,377200,142450,253448,1831368,3206419
visakhapatnam,Andhra Pradesh,1,8131.97,2,0,2,16263.94,7061,25267,107138,23605,73373,385.0,62.0,10.0,44.0,63.0,2718485,1566554,1071380,1038620,4622499,11017538
noida,Uttar Pradesh,1,2521.75,6,1,1,15130.52,9149,24716,81522,23380,112897,407.0,80.0,11.0,52.0,66.0,3723643,1977280,896742,1215760,7451202,15264627
udaipur,Rajasthan,2,10768.7,2,0,1,21537.41,9460,29707,149724,27048,94107,392.0,60.0,8.0,40.0,58.0,3708320,1782420,1197792,1081920,5458206,13228658
mangalore,Karnataka,2,1446.06,1,1,0,1446.06,587,1882,7006,1703,8382,378.0,65.0,11.0,47.0,64.0,221886,122330,77066,80041,536448,1037771
gurgaon,Haryana,1,8537.29,6,1,0,51223.73,22515,68201,239630,62453,318426,405.0,78.0,11.0,52.0,66.0,9118575,5319678,2635930,3247556,21016116,41337855
aurangabad,Maharashtra,2,6094.67,1,2,1,6094.67,3689,9268,24603,8924,52007,375.0,60.0,9.0,43.0,61.0,1383375,556080,221427,383732,3172427,5717041
tirunelveli,Tamil Nadu,3,10465.17,1,1,2,10465.17,6369,18267,62124,18235,84302,352.0,50.0,8.0,35.0,57.0,2241888,913350,496992,638225,4805214,9095669
bhubaneswar,Odisha,1,1689.1,5,2,0,8445.51,4363,11203,33094,10985,72407,380.0,60.0,10.0,43.0,65.0,1657940,672180,330940,472355,4706455,7839870
tirunelveli,Tamil Nadu,3,8199.16,4,0,1,32796.64,13955,49987,228302,44253,149286,352.0,50.0,8.0,35.0,57.0,4912160,2499350,1826416,1548855,8509302,19296083
agra,Uttar Pradesh,2,6950.24,2,1,2,13900.49,7298,20490,71690,21332,96704,395.0,65.0,9.0,42.0,60.0,2882710,1331850,645210,895944,5802240,11557954
pune,Maharashtra,1,5865.06,4,0,2,23460.25,12859,38107,164928,34694,113985,405.0,68.0,8.0,43.0,59.0,5207895,2591276,1319424,1491842,6725115,17335552
udaipur,Rajasthan,2,5998.61,4,0,2,23994.42,14312,42163,180545,39026,126839,392.0,60.0,8.0,40.0,58.0,5610304,2529780,1444360,1561040,7356662,18502146
rajkot,Gujarat,2,8719.33,1,1,2,8719.33,5300,14918,49421,14644,67003,378.0,55.0,9.0,38.0,56.0,2003400,820490,444789,556472,3752168,7577319
noida,Uttar Pradesh,1,11265.35,3,2,0,33796.05,13643,38891,115408,37376,241663,407.0,80.0,11.0,52.0,66.0,5552701,3111280,1269488,1943552,15949758,27826779
raipur,Chhattisgarh,2,1276.77,3,0,2,3830.31,1971,6120,26734,5935,18415,365.0,58.0,9.0,40.0,60.0,719415,354960,240606,237400,1104900,2657281
vellore,Tamil Nadu,3,430.13,8,0,2,3441.05,2006,4995,22720,5038,16972,355.0,50.0,8.0,35.0,58.0,712130,249750,181760,176330,984376,2304346
delhi,Delhi,1,9707.32,8,0,1,77658.53,43676,114764,527451,104396,369959,410.0,78.0,8.0,50.0,65.0,17907160,8951592,4219608,5219800,24047335,60345495
trichy,Tamil Nadu,2,1476.4,2,2,0,2952.8,1278,3862,11088,3681,22800,362.0,54.0,9.0,37.0,59.0,462636,208548,99792,136197,1345200,2252373
howrah,West Bengal,1,11843.02,3,0,1,35529.07,15233,52067,232673,41905,149650,395.0,65.0,10.0,44.0,63.0,6017035,3384355,2326730,1843820,9427950,22999890
tirunelveli,Tamil Nadu,3,7508.31,1,0,0,7508.31,2609,10064,46687,7853,27466,352.0,50.0,8.0,35.0,57.0,918368,503200,373496,274855,1565562,3635481
guwahati,Assam,1,7880.22,1,0,1,7880.22,3383,12489,55705,10415,33334,385.0,65.0,10.0,45.0,67.0,1302455,811785,557050,468675,2233378,5373343
howrah,West Bengal,1,2546.92,2,0,1,5093.84,2257,7209,31372,5872,19842,395.0,65.0,10.0,44.0,63.0,891515,468585,313720,258368,1250046,3182234
jodhpur,Rajasthan,2,3035.69,3,1,1,9107.06,4223,13382,44794,12489,57102,390.0,60.0,8.0,40.0,58.0,1646970,802920,358352,499560,3311916,6619718
chennai,Tamil Nadu,1,7980.33,3,2,2,23941.0,15414,38892,106807,41476,245524,410.0,73.0,8.0,45.0,61.0,6319740,2839116,854456,1866420,14976964,26856696
jabalpur,Madhya Pradesh,2,10934.78,2,0,1,21869.55,10017,33263,150863,28168,91446,365.0,58.0,10.0,42.0,60.0,3656205,1929254,1508630,1183056,5486760,13763905
chennai,Tamil Nadu,1,11792.21,4,0,1,47168.83,16580,74392,332595,58924,216154,410.0,73.0,8.0,45.0,61.0,6797800,5430616,2660760,2651580,13185394,30726150
erode,Tamil Nadu,3,2536.77,4,2,2,10147.06,5964,16028,42549,17400,100254,355.0,52.0,8.0,35.0,58.0,2117220,833456,340392,609000,5814732,9714800
coimbatore,Tamil Nadu,2,1782.61,4,2,1,7130.45,3716,9875,27978,10341,60964,370.0,62.0,10.0,40.0,62.0,1374920,612250,279780,413640,3779768,6460358
hyderabad,Telangana,1,865.54,1,0,1,865.54,381,1195,5678,1025,3422,415.0,60.0,8.0,42.0,61.0,158115,71700,45424,43050,208742,527031
varanasi,Uttar Pradesh,2,10445.9,4,0,1,41783.62,21752,61911,280768,55165,180751,390.0,65.0,9.0,43.0,60.0,8483280,4024215,2526912,2372095,10845060,28251562
vadodara,Gujarat,2,3677.64,6,2,1,22065.81,12885,32474,95964,38241,214317,382.0,58.0,10.0,42.0,56.0,4922070,1883492,959640,1606122,12001752,21373076
visakhapatnam,Andhra Pradesh,1,221.38,1,1,2,221.38,107,336,1148,353,1541,385.0,62.0,10.0,44.0,63.0,41195,20832,11480,15532,97083,186122
noida,Uttar Pradesh,1,2841.05,2,2,1,5682.11,3139,8508,23496,8159,50276,407.0,80.0,11.0,52.0,66.0,1277573,680640,258456,424268,3318216,5959153
chandigarh,Punjab,1,4217.2,10,0,1,42172.05,21741,65072,291619,63465,206508,390.0,68.0,11.0,48.0,64.0,8478990,4424896,3207809,3046320,13216512,32374527
hyderabad,Telangana,1,11893.64,3,1,1,35680.91,19188,48389,165207,44781,216723,415.0,60.0,8.0,42.0,61.0,7963020,2903340,1321656,1880802,13220103,27288921
faridabad,Haryana,2,6377.79,3,1,2,19133.37,12560,31179,109321,33845,150541,405.0,78.0,11.0,52.0,66.0,5086800,2431962,1202531,1759940,9935706,20416939
shimla,Himachal Pradesh,2,2615.62,1,2,2,2615.62,1397,3959,11306,4357,24912,415.0,82.0,12.0,55.0,70.0,579755,324638,135672,239635,1743840,3023540
jabalpur,Madhya Pradesh,2,4150.86,3,2,1,12452.57,6114,17505,50746,18009,106813,365.0,58.0,10.0,42.0,60.0,2231610,1015290,507460,756378,6408780,10919518
jaipur,Rajasthan,1,4097.63,2,0,0,8195.26,3186,10639,45269,8320,27806,405.0,62.0,7.0,43.0,60.0,1290330,659618,316883,357760,1668360,4292951
meerut,Uttar Pradesh,2,432.76,1,1,1,432.76,211,624,2281,609,2801,400.0,68.0,9.0,44.0,62.0,84400,42432,20529,26796,173662,347819
aurangabad,Maharashtra,2,1795.16,2,0,2,3590.32,1925,6015,24873,5225,16981,375.0,60.0,9.0,43.0,61.0,721875,360900,223857,224675,1035841,2567148
srinagar,Jammu and Kashmir,2,8403.32,1,1,0,8403.32,3189,10635,39250,9133,46502,430.0,90.0,13.0,60.0,74.0,1371270,957150,510250,547980,3441148,6827798
hyderabad,Telangana,1,1618.96,4,1,1,6475.85,3689,9030,33220,9282,42374,415.0,60.0,8.0,42.0,61.0,1530935,541800,265760,389844,2584814,5313153
guntur,Andhra Pradesh,2,2922.66,8,2,1,23381.32,13816,34918,98617,38326,229350,380.0,60.0,9.0,42.0,62.0,5250080,2095080,887553,1609692,14219700,24062105
mangalore,Karnataka,2,4338.7,2,0,2,8677.4,5092,15052,66437,13328,44705,378.0,65.0,11.0,47.0,64.0,1924776,978380,730807,626416,2861120,7121499
vijayawada,Andhra Pradesh,2,9141.27,3,0,1,27423.82,9928,38563,174319,32388,109346,380.0,60.0,9.0,43.0,62.0,3772640,2313780,1568871,1392684,6779452,15827427
mysore,Karnataka,2,7072.33,2,0,1,14144.66,5451,20895,93688,17768,58032,375.0,62.0,10.0,44.0,64.0,2044125,1295490,936880,781792,3714048,8772335
coimbatore,Tamil Nadu,2,8330.2,1,0,0,8330.2,3593,9939,49614,8413,29317,370.0,62.0,10.0,40.0,62.0,1329410,616218,496140,336520,1817654,4595942
indore,Madhya Pradesh,1,6890.75,8,0,1,55125.96,22758,78971,347410,68410,233733,380.0,60.0,11.0,43.0,58.0,8648040,4738260,3821510,2941630,13556514,33705954
gorakhpur,Uttar Pradesh,2,8266.39,1,2,1,8266.39,4369,11584,32972,11574,69026,390.0,65.0,9.0,42.0,60.0,1703910,752960,296748,486108,4141560,7381286
guntur,Andhra Pradesh,2,233.54,1,0,1,233.54,99,315,1389,251,867,380.0,60.0,9.0,42.0,62.0,37620,18900,12501,10542,53754,133317
mangalore,Karnataka,2,11184.6,2,0,1,22369.2,9709,32143,140947,28482,89595,378.0,65.0,11.0,47.0,64.0,3670002,2089295,1550417,1338654,5734080,14382448
coimbatore,Tamil Nadu,2,1508.86,3,2,1,4526.58,2454,6607,18293,6411,37348,370.0,62.0,10.0,40.0,62.0,907980,409634,182930,256440,2315576,4072560
lucknow,Uttar Pradesh,1,4993.74,2,2,2,9987.48,5883,17599,45910,18807,107544,405.0,65.0,9.0,47.0,60.0,2382615,1143935,413190,883929,6452640,11276309
trichy,Tamil Nadu,2,9298.25,1,0,1,9298.25,4269,13287,58465,10586,35694,362.0,54.0,9.0,37.0,59.0,1545378,717498,526185,391682,2105946,5286689
srinagar,Jammu and Kashmir,2,5335.72,4,0,1,21342.89,6964,28034,134299,26341,85940,430.0,90.0,13.0,60.0,74.0,2994520,2523060,1745887,1580460,6359560,15203487
bangalore,Karnataka,1,11372.74,2,0,2,22745.48,12705,39527,168637,33368,112152,380.0,68.0,12.0,52.0,65.0,4827900,2687836,2023644,1735136,7289880,18564396
raipur,Chhattisgarh,2,5717.55,1,0,1,5717.55,3138,8828,39681,7179,23939,365.0,58.0,9.0,40.0,60.0,1145370,512024,357129,287160,1436340,3738023
shimla,Himachal Pradesh,2,10524.28,2,1,0,21048.57,9137,25593,93576,21600,115797,415.0,82.0,12.0,55.0,70.0,3791855,2098626,1122912,1188000,8105790,16307183
madurai,Tamil Nadu,2,9767.77,2,1,0,19535.54,8160,27386,91435,23020,116323,368.0,58.0,9.0,38.0,60.0,3002880,1588388,822915,874760,6979380,13268323
pune,Maharashtra,1,11775.64,3,1,1,35326.92,16420,50995,176605,42801,219941,405.0,68.0,8.0,43.0,59.0,6650100,3467660,1412840,1840443,12976519,26347562
ludhiana,Punjab,1,11133.26,3,2,0,33399.79,14818,43724,125168,45835,266234,388.0,68.0,11.0,48.0,64.0,5749384,2973232,1376848,2200080,17038976,29338520
lucknow,Uttar Pradesh,1,10797.86,4,1,2,43191.44,22657,63515,216430,70564,312261,405.0,65.0,9.0,47.0,60.0,9176085,4128475,1947870,3316508,18735660,37304598
trichy,Tamil Nadu,2,8832.93,2,2,1,17665.86,8299,23919,65247,23452,139840,362.0,54.0,9.0,37.0,59.0,3004238,1291626,587223,867724,8250560,14001371
guwahati,Assam,1,4530.58,1,2,2,4530.58,2626,7779,21117,8384,46568,385.0,65.0,10.0,45.0,67.0,1011010,505635,211170,377280,3120056,5225151
ghaziabad,Uttar Pradesh,2,1452.28,1,0,2,1452.28,678,2501,10069,2124,6629,405.0,78.0,11.0,52.0,66.0,274590,195078,110759,110448,437514,1128389
howrah,West Bengal,1,8326.01,2,0,1,16652.02,7598,24066,107679,19503,66070,395.0,65.0,10.0,44.0,63.0,3001210,1564290,1076790,858132,4162410,10662832
salem,Tamil Nadu,2,11748.12,1,0,1,11748.12,5372,16559,76294,14054,47223,360.0,52.0,8.0,36.0,59.0,1933920,861068,610352,505944,2786157,6697441
meerut,Uttar Pradesh,2,8773.93,2,1,1,17547.86,9346,28228,93346,24291,120486,400.0,68.0,9.0,44.0,62.0,3738400,1919504,840114,1068804,7470132,15036954
